customer_id,age,gender,tenure,monthly_charges,total_charges,num_products,has_internet,has_phone,support_calls,churn
1176,25,Female,4,47.0,188,1,0,1,6,1
1177,61,Male,60,122.0,7320,4,1,1,0,0
1178,34,Female,16,72.0,1152,2,1,1,2,0
1179,23,Male,2,43.0,86,1,0,1,7,1
1180,50,Female,48,104.0,4992,4,1,1,0,0
1181,39,Male,25,83.0,2075,3,1,1,1,0
1182,26,Female,5,49.0,245,1,0,1,6,1
1183,58,Male,56,116.0,6496,4,1,1,0,0
1184,44,Female,33,91.0,3003,3,1,1,1,0
1185,22,Male,1,39.0,39,1,0,1,9,1
1186,53,Female,51,109.0,5559,4,1,1,0,0
1187,36,Male,18,77.0,1386,2,1,1,2,1
1188,28,Female,7,53.0,371,1,1,1,5,1
1189,46,Male,40,96.0,3840,3,1,1,1,0
1190,31,Female,11,61.0,671,2,1,1,3,0
1191,21,Male,1,38.0,38,1,0,0,9,1
1192,57,Female,55,115.0,6325,4,1,1,0,0
1193,42,Male,29,87.0,2523,3,1,1,1,0
1194,25,Female,4,46.0,184,1,0,1,7,1
1195,60,Male,59,121.0,7139,4,1,1,0,0
1196,37,Female,20,79.0,1580,2,1,1,2,0
1197,24,Male,3,44.0,132,1,0,1,6,1
1198,51,Female,48,106.0,5088,4,1,1,0,0
1199,40,Male,26,84.0,2184,3,1,1,1,0
1200,27,Female,6,51.0,306,1,1,1,5,1
